home_team,away_team,home_score,away_score,home_times,away_times,home_win,away_win,home_goals,away_goals,home_r_win,away_r_win,home_Ave_goal,away_Ave_goal,result
智利,西班牙,0,2,33,63,11,30,40,99,0.333333333,0.476190476,1.212121212,1.571428571,0
英格兰,美国,0,1,69,33,29,8,91,37,0.420289855,0.242424242,1.31884058,1.121212121,0
巴拉圭,瑞典,2,2,27,51,7,19,30,80,0.259259259,0.37254902,1.111111111,1.568627451,-1
巴西,南斯拉夫,2,0,109,33,73,14,229,55,0.669724771,0.424242424,2.100917431,1.666666667,1
玻利维亚,乌拉圭,0,8,6,56,0,24,1,87,0,0.428571429,0.166666667,1.553571429,0
智利,美国,5,2,33,33,11,8,40,37,0.333333333,0.242424242,1.212121212,1.121212121,1
英格兰,西班牙,0,1,69,63,29,30,91,99,0.420289855,0.476190476,1.31884058,1.571428571,0
意大利,巴拉圭,2,0,83,27,45,7,128,30,0.542168675,0.259259259,1.542168675,1.111111111,1
墨西哥,瑞士,1,2,57,37,16,12,60,50,0.280701754,0.324324324,1.052631579,1.351351351,0
巴西,瑞典,7,1,109,51,73,19,229,80,0.669724771,0.37254902,2.100917431,1.568627451,1
西班牙,乌拉圭,2,2,63,56,30,24,99,87,0.476190476,0.428571429,1.571428571,1.553571429,-1
巴西,西班牙,6,1,109,63,73,30,229,99,0.669724771,0.476190476,2.100917431,1.571428571,1
瑞典,乌拉圭,2,3,51,56,19,24,80,87,0.37254902,0.428571429,1.568627451,1.553571429,0
巴西,乌拉圭,1,2,109,56,73,24,229,87,0.669724771,0.428571429,2.100917431,1.553571429,0
西班牙,瑞典,1,3,63,51,30,19,99,80,0.476190476,0.37254902,1.571428571,1.568627451,0
奥地利,苏格兰,1,0,29,23,12,4,43,25,0.413793103,0.173913043,1.482758621,1.086956522,1
巴西,墨西哥,5,0,109,57,73,16,229,60,0.669724771,0.280701754,2.100917431,1.052631579,1
捷克斯洛伐克,乌拉圭,0,2,30,56,11,24,44,87,0.366666667,0.428571429,1.466666667,1.553571429,0
法国,南斯拉夫,0,1,66,33,34,14,120,55,0.515151515,0.424242424,1.818181818,1.666666667,0
比利时,英格兰,4,4,48,69,20,29,68,91,0.416666667,0.420289855,1.416666667,1.31884058,-1
德国,土耳其,4,1,109,10,67,5,226,20,0.614678899,0.5,2.073394495,2,1
匈牙利,朝鲜,9,0,32,12,15,1,87,11,0.46875,0.083333333,2.71875,0.916666667,1
瑞士,意大利,2,1,37,83,12,45,50,128,0.324324324,0.542168675,1.351351351,1.542168675,1
奥地利,捷克斯洛伐克,5,0,29,30,12,11,43,44,0.413793103,0.366666667,1.482758621,1.466666667,1
巴西,南斯拉夫,1,1,109,33,73,14,229,55,0.669724771,0.424242424,2.100917431,1.666666667,-1
法国,墨西哥,3,2,66,57,34,16,120,60,0.515151515,0.280701754,1.818181818,1.052631579,1
苏格兰,乌拉圭,0,7,23,56,4,24,25,87,0.173913043,0.428571429,1.086956522,1.553571429,0
比利时,意大利,1,4,48,83,20,45,68,128,0.416666667,0.542168675,1.416666667,1.542168675,0
德国,匈牙利,3,8,109,32,67,15,226,87,0.614678899,0.46875,2.073394495,2.71875,0
韩国,土耳其,0,7,29,10,6,5,29,20,0.206896552,0.5,1,2,0
瑞士,英格兰,0,2,37,69,12,29,50,91,0.324324324,0.420289855,1.351351351,1.31884058,0
德国,土耳其,7,2,109,10,67,5,226,20,0.614678899,0.5,2.073394495,2,1
瑞士,意大利,4,1,37,83,12,45,50,128,0.324324324,0.542168675,1.351351351,1.542168675,1
英格兰,乌拉圭,2,4,69,56,29,24,91,87,0.420289855,0.428571429,1.31884058,1.553571429,0
瑞士,奥地利,5,7,37,29,12,12,50,43,0.324324324,0.413793103,1.351351351,1.482758621,0
巴西,匈牙利,2,4,109,32,73,15,229,87,0.669724771,0.46875,2.100917431,2.71875,0
德国,南斯拉夫,2,0,109,33,67,14,226,55,0.614678899,0.424242424,2.073394495,1.666666667,1
奥地利,德国,1,6,29,109,12,67,43,226,0.413793103,0.614678899,1.482758621,2.073394495,0
匈牙利,乌拉圭,4,2,32,56,15,24,87,87,0.46875,0.428571429,2.71875,1.553571429,1
奥地利,乌拉圭,3,1,29,56,12,24,43,87,0.413793103,0.428571429,1.482758621,1.553571429,1
德国,匈牙利,3,2,109,32,67,15,226,87,0.614678899,0.46875,2.073394495,2.71875,1
阿根廷,德国,1,3,81,109,43,67,137,226,0.530864198,0.614678899,1.691358025,2.073394495,0
奥地利,巴西,0,3,29,109,12,73,43,229,0.413793103,0.669724771,1.482758621,2.100917431,0
捷克斯洛伐克,北爱尔兰,0,1,30,13,11,3,44,13,0.366666667,0.230769231,1.466666667,1,0
英格兰,俄罗斯,2,2,69,45,29,19,91,77,0.420289855,0.422222222,1.31884058,1.711111111,-1
法国,巴拉圭,7,3,66,27,34,7,120,30,0.515151515,0.259259259,1.818181818,1.111111111,1
匈牙利,威尔士,1,1,32,5,15,1,87,4,0.46875,0.2,2.71875,0.8,-1
苏格兰,南斯拉夫,1,1,23,33,4,14,25,55,0.173913043,0.424242424,1.086956522,1.666666667,-1
瑞典,墨西哥,3,0,51,57,19,16,80,60,0.37254902,0.280701754,1.568627451,1.052631579,1
阿根廷,北爱尔兰,3,1,81,13,43,3,137,13,0.530864198,0.230769231,1.691358025,1,1
奥地利,俄罗斯,0,2,29,45,12,19,43,77,0.413793103,0.422222222,1.482758621,1.711111111,0
巴西,英格兰,0,0,109,69,73,29,229,91,0.669724771,0.420289855,2.100917431,1.31884058,-1
捷克斯洛伐克,德国,2,2,30,109,11,67,44,226,0.366666667,0.614678899,1.466666667,2.073394495,-1
法国,南斯拉夫,2,3,66,33,34,14,120,55,0.515151515,0.424242424,1.818181818,1.666666667,0
墨西哥,威尔士,1,1,57,5,16,1,60,4,0.280701754,0.2,1.052631579,0.8,-1
巴拉圭,苏格兰,3,2,27,23,7,4,30,25,0.259259259,0.173913043,1.111111111,1.086956522,1
瑞典,匈牙利,2,1,51,32,19,15,80,87,0.37254902,0.46875,1.568627451,2.71875,1
阿根廷,捷克斯洛伐克,1,6,81,30,43,11,137,44,0.530864198,0.366666667,1.691358025,1.466666667,0
奥地利,英格兰,2,2,29,69,12,29,43,91,0.413793103,0.420289855,1.482758621,1.31884058,-1
巴西,俄罗斯,2,0,109,45,73,19,229,77,0.669724771,0.422222222,2.100917431,1.711111111,1
法国,苏格兰,2,1,66,23,34,4,120,25,0.515151515,0.173913043,1.818181818,1.086956522,1
德国,北爱尔兰,2,2,109,13,67,3,226,13,0.614678899,0.230769231,2.073394495,1,-1
匈牙利,墨西哥,4,0,32,57,15,16,87,60,0.46875,0.280701754,2.71875,1.052631579,1
巴拉圭,南斯拉夫,3,3,27,33,7,14,30,55,0.259259259,0.424242424,1.111111111,1.666666667,-1
瑞典,威尔士,0,0,51,5,19,1,80,4,0.37254902,0.2,1.568627451,0.8,-1
捷克斯洛伐克,北爱尔兰,1,2,30,13,11,3,44,13,0.366666667,0.230769231,1.466666667,1,0
英格兰,俄罗斯,0,1,69,45,29,19,91,77,0.420289855,0.422222222,1.31884058,1.711111111,0
匈牙利,威尔士,1,2,32,5,15,1,87,4,0.46875,0.2,2.71875,0.8,0
巴西,威尔士,1,0,109,5,73,1,229,4,0.669724771,0.2,2.100917431,0.8,1
法国,北爱尔兰,4,0,66,13,34,3,120,13,0.515151515,0.230769231,1.818181818,1,1
德国,南斯拉夫,1,0,109,33,67,14,226,55,0.614678899,0.424242424,2.073394495,1.666666667,1
瑞典,俄罗斯,2,0,51,45,19,19,80,77,0.37254902,0.422222222,1.568627451,1.711111111,1
巴西,法国,5,2,109,66,73,34,229,120,0.669724771,0.515151515,2.100917431,1.818181818,1
瑞典,德国,3,1,51,109,19,67,80,226,0.37254902,0.614678899,1.568627451,2.073394495,1
法国,德国,6,3,66,109,34,67,120,226,0.515151515,0.614678899,1.818181818,2.073394495,1
瑞典,巴西,2,5,51,109,19,73,80,229,0.37254902,0.669724771,1.568627451,2.100917431,0
阿根廷,保加利亚,1,0,81,26,43,3,137,22,0.530864198,0.115384615,1.691358025,0.846153846,1
巴西,墨西哥,2,0,109,57,73,16,229,60,0.669724771,0.280701754,2.100917431,1.052631579,1
智利,瑞士,3,1,33,37,11,12,40,50,0.333333333,0.324324324,1.212121212,1.351351351,1
哥伦比亚,乌拉圭,1,2,22,56,9,24,32,87,0.409090909,0.428571429,1.454545455,1.553571429,0
捷克斯洛伐克,西班牙,1,0,30,63,11,30,44,99,0.366666667,0.476190476,1.466666667,1.571428571,1
英格兰,匈牙利,1,2,69,32,29,15,91,87,0.420289855,0.46875,1.31884058,2.71875,0
德国,意大利,0,0,109,83,67,45,226,128,0.614678899,0.542168675,2.073394495,1.542168675,-1
俄罗斯,南斯拉夫,2,0,45,33,19,14,77,55,0.422222222,0.424242424,1.711111111,1.666666667,1
阿根廷,英格兰,1,3,81,69,43,29,137,91,0.530864198,0.420289855,1.691358025,1.31884058,0
巴西,捷克斯洛伐克,0,0,109,30,73,11,229,44,0.669724771,0.366666667,2.100917431,1.466666667,-1
智利,意大利,2,0,33,83,11,45,40,128,0.333333333,0.542168675,1.212121212,1.542168675,1
乌拉圭,南斯拉夫,1,3,56,33,24,14,87,55,0.428571429,0.424242424,1.553571429,1.666666667,0
保加利亚,匈牙利,1,6,26,32,3,15,22,87,0.115384615,0.46875,0.846153846,2.71875,0
哥伦比亚,俄罗斯,4,4,22,45,9,19,32,77,0.409090909,0.422222222,1.454545455,1.711111111,-1
德国,瑞士,2,1,109,37,67,12,226,50,0.614678899,0.324324324,2.073394495,1.351351351,1
墨西哥,西班牙,0,1,57,63,16,30,60,99,0.280701754,0.476190476,1.052631579,1.571428571,0
阿根廷,匈牙利,0,0,81,32,43,15,137,87,0.530864198,0.46875,1.691358025,2.71875,-1
巴西,西班牙,2,1,109,63,73,30,229,99,0.669724771,0.476190476,2.100917431,1.571428571,1
智利,德国,0,2,33,109,11,67,40,226,0.333333333,0.614678899,1.212121212,2.073394495,0
俄罗斯,乌拉圭,2,1,45,56,19,24,77,87,0.422222222,0.428571429,1.711111111,1.553571429,1
保加利亚,英格兰,0,0,26,69,3,29,22,91,0.115384615,0.420289855,0.846153846,1.31884058,-1
哥伦比亚,南斯拉夫,0,5,22,33,9,14,32,55,0.409090909,0.424242424,1.454545455,1.666666667,0
捷克斯洛伐克,墨西哥,1,3,30,57,11,16,44,60,0.366666667,0.280701754,1.466666667,1.052631579,0
意大利,瑞士,3,0,83,37,45,12,128,50,0.542168675,0.324324324,1.542168675,1.351351351,1
巴西,英格兰,3,1,109,69,73,29,229,91,0.669724771,0.420289855,2.100917431,1.31884058,1
智利,俄罗斯,2,1,33,45,11,19,40,77,0.333333333,0.422222222,1.212121212,1.711111111,1
捷克斯洛伐克,匈牙利,1,0,30,32,11,15,44,87,0.366666667,0.46875,1.466666667,2.71875,1
德国,南斯拉夫,0,1,109,33,67,14,226,55,0.614678899,0.424242424,2.073394495,1.666666667,0
智利,巴西,2,4,33,109,11,73,40,229,0.333333333,0.669724771,1.212121212,2.100917431,0
捷克斯洛伐克,南斯拉夫,3,1,30,33,11,14,44,55,0.366666667,0.424242424,1.466666667,1.666666667,1
智利,南斯拉夫,1,0,33,33,11,14,40,55,0.333333333,0.424242424,1.212121212,1.666666667,1
巴西,捷克斯洛伐克,3,1,109,30,73,11,229,44,0.669724771,0.366666667,2.100917431,1.466666667,1
英格兰,乌拉圭,0,0,69,56,29,24,91,87,0.420289855,0.428571429,1.31884058,1.553571429,-1
巴西,保加利亚,2,0,109,26,73,3,229,22,0.669724771,0.115384615,2.100917431,0.846153846,1
德国,瑞士,5,0,109,37,67,12,226,50,0.614678899,0.324324324,2.073394495,1.351351351,1
朝鲜,俄罗斯,0,3,12,45,1,19,11,77,0.083333333,0.422222222,0.916666667,1.711111111,0
阿根廷,西班牙,2,1,81,63,43,30,137,99,0.530864198,0.476190476,1.691358025,1.571428571,1
智利,意大利,0,2,33,83,11,45,40,128,0.333333333,0.542168675,1.212121212,1.542168675,0
法国,墨西哥,1,1,66,57,34,16,120,60,0.515151515,0.280701754,1.818181818,1.052631579,-1
匈牙利,葡萄牙,1,3,32,30,15,14,87,49,0.46875,0.466666667,2.71875,1.633333333,0
巴西,匈牙利,1,3,109,32,73,15,229,87,0.669724771,0.46875,2.100917431,2.71875,0
智利,朝鲜,1,1,33,12,11,1,40,11,0.333333333,0.083333333,1.212121212,0.916666667,-1
法国,乌拉圭,1,2,66,56,34,24,120,87,0.515151515,0.428571429,1.818181818,1.553571429,0
西班牙,瑞士,2,1,63,37,30,12,99,50,0.476190476,0.324324324,1.571428571,1.351351351,1
阿根廷,德国,0,0,81,109,43,67,137,226,0.530864198,0.614678899,1.691358025,2.073394495,-1
保加利亚,葡萄牙,0,3,26,30,3,14,22,49,0.115384615,0.466666667,0.846153846,1.633333333,0
英格兰,墨西哥,2,0,69,57,29,16,91,60,0.420289855,0.280701754,1.31884058,1.052631579,1
意大利,俄罗斯,0,1,83,45,45,19,128,77,0.542168675,0.422222222,1.542168675,1.711111111,0
阿根廷,瑞士,2,0,81,37,43,12,137,50,0.530864198,0.324324324,1.691358025,1.351351351,1
巴西,葡萄牙,1,3,109,30,73,14,229,49,0.669724771,0.466666667,2.100917431,1.633333333,0
意大利,朝鲜,0,1,83,12,45,1,128,11,0.542168675,0.083333333,1.542168675,0.916666667,0
墨西哥,乌拉圭,0,0,57,56,16,24,60,87,0.280701754,0.428571429,1.052631579,1.553571429,-1
保加利亚,匈牙利,1,3,26,32,3,15,22,87,0.115384615,0.46875,0.846153846,2.71875,0
智利,俄罗斯,1,2,33,45,11,19,40,77,0.333333333,0.422222222,1.212121212,1.711111111,0
英格兰,法国,2,0,69,66,29,34,91,120,0.420289855,0.515151515,1.31884058,1.818181818,1
德国,西班牙,2,1,109,63,67,30,226,99,0.614678899,0.476190476,2.073394495,1.571428571,1
英格兰,阿根廷,1,0,69,81,29,43,91,137,0.420289855,0.530864198,1.31884058,1.691358025,1
德国,乌拉圭,4,0,109,56,67,24,226,87,0.614678899,0.428571429,2.073394495,1.553571429,1
匈牙利,俄罗斯,1,2,32,45,15,19,87,77,0.46875,0.422222222,2.71875,1.711111111,0
朝鲜,葡萄牙,3,5,12,30,1,14,11,49,0.083333333,0.466666667,0.916666667,1.633333333,0
德国,俄罗斯,2,1,109,45,67,19,226,77,0.614678899,0.422222222,2.073394495,1.711111111,1
英格兰,葡萄牙,2,1,69,30,29,14,91,49,0.420289855,0.466666667,1.31884058,1.633333333,1
葡萄牙,俄罗斯,2,1,30,45,14,19,49,77,0.466666667,0.422222222,1.633333333,1.711111111,1
英格兰,德国,4,2,69,109,29,67,91,226,0.420289855,0.614678899,1.31884058,2.073394495,1
墨西哥,俄罗斯,0,0,57,45,16,19,60,77,0.280701754,0.422222222,1.052631579,1.711111111,-1
保加利亚,秘鲁,2,3,26,18,3,5,22,21,0.115384615,0.277777778,0.846153846,1.166666667,0
英格兰,罗马尼亚,1,0,69,21,29,8,91,30,0.420289855,0.380952381,1.31884058,1.428571429,1
以色列,乌拉圭,0,2,3,56,0,24,1,87,0,0.428571429,0.333333333,1.553571429,0
比利时,萨尔瓦多,3,0,48,6,20,0,68,1,0.416666667,0,1.416666667,0.166666667,1
巴西,捷克斯洛伐克,4,1,109,30,73,11,229,44,0.669724771,0.366666667,2.100917431,1.466666667,1
德国,摩洛哥,2,1,109,16,67,2,226,14,0.614678899,0.125,2.073394495,0.875,1
意大利,瑞典,1,0,83,51,45,19,128,80,0.542168675,0.37254902,1.542168675,1.568627451,1
比利时,俄罗斯,1,4,48,45,20,19,68,77,0.416666667,0.422222222,1.416666667,1.711111111,0
捷克斯洛伐克,罗马尼亚,1,2,30,21,11,8,44,30,0.366666667,0.380952381,1.466666667,1.428571429,0
意大利,乌拉圭,0,0,83,56,45,24,128,87,0.542168675,0.428571429,1.542168675,1.553571429,-1
摩洛哥,秘鲁,0,3,16,18,2,5,14,21,0.125,0.277777778,0.875,1.166666667,0
巴西,英格兰,1,0,109,69,73,29,229,91,0.669724771,0.420289855,2.100917431,1.31884058,1
保加利亚,德国,2,5,26,109,3,67,22,226,0.115384615,0.614678899,0.846153846,2.073394495,0
以色列,瑞典,1,1,3,51,0,19,1,80,0,0.37254902,0.333333333,1.568627451,-1
墨西哥,萨尔瓦多,4,0,57,6,16,0,60,1,0.280701754,0,1.052631579,0.166666667,1
巴西,罗马尼亚,3,2,109,21,73,8,229,30,0.669724771,0.380952381,2.100917431,1.428571429,1
萨尔瓦多,俄罗斯,0,2,6,45,0,19,1,77,0,0.422222222,0.166666667,1.711111111,0
德国,秘鲁,3,1,109,18,67,5,226,21,0.614678899,0.277777778,2.073394495,1.166666667,1
瑞典,乌拉圭,1,0,51,56,19,24,80,87,0.37254902,0.428571429,1.568627451,1.553571429,1
保加利亚,摩洛哥,1,1,26,16,3,2,22,14,0.115384615,0.125,0.846153846,0.875,-1
捷克斯洛伐克,英格兰,0,1,30,69,11,29,44,91,0.366666667,0.420289855,1.466666667,1.31884058,0
以色列,意大利,0,0,3,83,0,45,1,128,0,0.542168675,0.333333333,1.542168675,-1
墨西哥,比利时,1,0,57,48,16,20,60,68,0.280701754,0.416666667,1.052631579,1.416666667,1
巴西,秘鲁,4,2,109,18,73,5,229,21,0.669724771,0.277777778,2.100917431,1.166666667,1
英格兰,德国,2,3,69,109,29,67,91,226,0.420289855,0.614678899,1.31884058,2.073394495,0
墨西哥,意大利,1,4,57,83,16,45,60,128,0.280701754,0.542168675,1.052631579,1.542168675,0
俄罗斯,乌拉圭,0,1,45,56,19,24,77,87,0.422222222,0.428571429,1.711111111,1.553571429,0
巴西,乌拉圭,3,1,109,56,73,24,229,87,0.669724771,0.428571429,2.100917431,1.553571429,1
德国,意大利,3,4,109,83,67,45,226,128,0.614678899,0.542168675,2.073394495,1.542168675,0
德国,乌拉圭,1,0,109,56,67,24,226,87,0.614678899,0.428571429,2.073394495,1.553571429,1
巴西,意大利,4,1,109,83,73,45,229,128,0.669724771,0.542168675,2.100917431,1.542168675,1
巴西,南斯拉夫,0,0,109,33,73,14,229,55,0.669724771,0.424242424,2.100917431,1.666666667,-1
刚果民主共和国,苏格兰,0,2,2,23,0,4,0,25,0,0.173913043,0,1.086956522,0
民主德国,澳大利亚,2,0,6,16,2,2,5,13,0.333333333,0.125,0.833333333,0.8125,1
德国,智利,1,0,109,33,67,11,226,40,0.614678899,0.333333333,2.073394495,1.212121212,1
意大利,海地,3,1,83,3,45,0,128,2,0.542168675,0,1.542168675,0.666666667,1
波兰,阿根廷,3,2,34,81,16,43,46,137,0.470588235,0.530864198,1.352941176,1.691358025,1
瑞典,保加利亚,0,0,51,26,19,3,80,22,0.37254902,0.115384615,1.568627451,0.846153846,-1
乌拉圭,荷兰,0,2,56,50,24,27,87,86,0.428571429,0.54,1.553571429,1.72,0
智利,民主德国,1,1,33,6,11,2,40,5,0.333333333,0.333333333,1.212121212,0.833333333,-1
德国,澳大利亚,3,0,109,16,67,2,226,13,0.614678899,0.125,2.073394495,0.8125,1
苏格兰,巴西,0,0,23,109,4,73,25,229,0.173913043,0.669724771,1.086956522,2.100917431,-1
南斯拉夫,刚果（金）,9,0,33,1,14,0,55,0,0.424242424,0,1.666666667,0,1
阿根廷,意大利,1,1,81,83,43,45,137,128,0.530864198,0.542168675,1.691358025,1.542168675,-1
保加利亚,乌拉圭,1,1,26,56,3,24,22,87,0.115384615,0.428571429,0.846153846,1.553571429,-1
海地,波兰,0,7,3,34,0,16,2,46,0,0.470588235,0.666666667,1.352941176,0
荷兰,瑞典,0,0,50,51,27,19,86,80,0.54,0.37254902,1.72,1.568627451,-1
澳大利亚,智利,0,0,16,33,2,11,13,40,0.125,0.333333333,0.8125,1.212121212,-1
刚果民主共和国,巴西,0,3,2,109,0,73,0,229,0,0.669724771,0,2.100917431,0
德国,民主德国,0,1,109,6,67,2,226,5,0.614678899,0.333333333,2.073394495,0.833333333,0
苏格兰,南斯拉夫,1,1,23,33,4,14,25,55,0.173913043,0.424242424,1.086956522,1.666666667,-1
阿根廷,海地,4,1,81,3,43,0,137,2,0.530864198,0,1.691358025,0.666666667,1
保加利亚,荷兰,1,4,26,50,3,27,22,86,0.115384615,0.54,0.846153846,1.72,0
波兰,意大利,2,1,34,83,16,45,46,128,0.470588235,0.542168675,1.352941176,1.542168675,1
瑞典,乌拉圭,3,0,51,56,19,24,80,87,0.37254902,0.428571429,1.568627451,1.553571429,1
巴西,民主德国,1,0,109,6,73,2,229,5,0.669724771,0.333333333,2.100917431,0.833333333,1
德国,南斯拉夫,2,0,109,33,67,14,226,55,0.614678899,0.424242424,2.073394495,1.666666667,1
荷兰,阿根廷,4,0,50,81,27,43,86,137,0.54,0.530864198,1.72,1.691358025,1
瑞典,波兰,0,1,51,34,19,16,80,46,0.37254902,0.470588235,1.568627451,1.352941176,0
阿根廷,巴西,1,2,81,109,43,73,137,229,0.530864198,0.669724771,1.691358025,2.100917431,0
民主德国,荷兰,0,2,6,50,2,27,5,86,0.333333333,0.54,0.833333333,1.72,0
德国,瑞典,4,2,109,51,67,19,226,80,0.614678899,0.37254902,2.073394495,1.568627451,1
波兰,南斯拉夫,2,1,34,33,16,14,46,55,0.470588235,0.424242424,1.352941176,1.666666667,1
阿根廷,民主德国,1,1,81,6,43,2,137,5,0.530864198,0.333333333,1.691358025,0.833333333,-1
