times,team1,team2,win
0,瑞士,德国,瑞士
1,比利时,英格兰,比利时
2,西班牙,美国,美国
3,墨西哥,瑞典,墨西哥
4,巴西,日本,巴西
5,葡萄牙,法国,葡萄牙
6,阿根廷,荷兰,阿根廷
7,韩国,乌拉圭,韩国
