,country,times,win,goals,rate of winning,Average goal
0,比利时,1.0925575008975756,0.8279043666512893,0.8215721010275333,0.9066367496790859,0.6998817526913301
1,法国,1.847527009944777,1.840081377211119,1.9785019024744959,1.4414141798601794,1.4264312442347806
2,巴西,3.651065281557535,4.659717335199216,4.403604755507552,2.2807543384506883,1.9380468460348086
3,秘鲁,-0.165725014181093,-0.2565710018056711,-0.2241144502802981,0.15246345070574918,0.24750188059823802
4,阿根廷,2.476668267484111,2.4907665982852953,2.3567289529475413,1.5267347955016075,1.196941118324481
5,智利,0.46341624335824133,0.17721914557711305,0.19860990024839975,0.4541327702950837,0.3297527664333456
6,玻利维亚,-0.6690380202125604,-0.6180627912913246,-0.6690874508368222,-1.3558831472409243,-1.5620176077741308
7,巴拉圭,0.21175974034250758,-0.11197428601140973,-0.023876600029862288,0.05190701084263747,0.1469730201331064
8,乌拉圭,1.4280995049185539,1.117097798239812,1.2442964515562311,0.9712801753053717,0.9476135874089758
9,奥地利,0.29564524134775216,0.24951750347424373,0.26535585033187836,0.8910331641830861,0.8194764315205384
10,捷克斯洛伐克,0.33758799185037447,0.17721914557711305,0.28760450035970453,0.6351343620486839,0.7903577271099482
11,埃及,-0.6270952697099382,-0.6180627912913246,-0.5800928507255173,-1.3558831472409243,-0.5710902689035479
12,意大利,2.560553768489356,2.6353633140795565,2.1564911026971054,1.5881186463417396,0.9269800820553322
13,荷兰,1.1764430019028203,1.3339928719312042,1.222047801528405,1.5763426391674094,1.2487693308309484
14,德国,3.651065281557535,4.225927187816432,4.3368588054240735,1.981852627297953,1.8882435573640095
15,古巴,-0.7948662717204273,-0.5457644333941939,-0.5800928507255173,0.4541327702950837,1.1522616247844224
16,匈牙利,0.421473492855619,0.4664125771656358,1.2442964515562311,1.1894517367940871,3.056026919842852
17,西班牙,1.72169875843691,1.5508879456225964,1.5112802518901456,1.2298538778105161,0.9799264354156251
18,瑞士,0.6311872453687305,0.24951750347424373,0.42109640052666175,0.4052134211724891,0.5816924167390802
19,墨西哥,1.4700422554211763,0.5387109350627665,0.6435829008049238,0.168340783315714,0.04115316701191504
